1	36
2	9
3	8
4	1
5	5
6	2
7	5
8	3
9	2
10	3
11	1
15	2
16	1
17	1
19	1
21	1
22	3
24	1
26	1
27	1
28	1
29	2
30	2
31	1
32	1
38	1
40	1
44	1
45	2
46	2
47	1
51	1
55	1
56	1
57	3
58	1
61	1
64	2
76	1
78	1
96	1
102	1
115	1
124	1
147	1
163	1
164	2
169	1
171	1
173	1
194	1
330	1
349	1
360	1
473	1
528	1
529	1
648	1
685	1
695	1
735	1
746	1
770	1
810	1
849	1
958	1
1164	1
1179	1
1253	1
1328	1
1371	1
1470	1
1609	1
1683	1
1831	1
2120	1
2312	1
2398	1
2955	1
3050	1
3128	1
3184	1
3369	1
3592	1
3600	1
3728	1
3891	1
4698	1
5640	1
5836	1
6478	1
6518	1
6527	1
6983	1
6991	1
7377	1
8856	1
9085	1
9519	1
10078	1
10259	1
10766	1
10946	1
10971	1
11385	1
13287	1
14130	1
14854	1
15753	1
16272	1
16292	1
17965	1
19978	1
21569	1
23676	1
24124	1
24125	1
24634	1
24879	1
25401	1
26686	1
28285	1
32432	1
33389	1
37955	1
39301	1
43018	1
43312	1
46255	1
53802	1
53871	1
74972	1
85397	1
94130	1
97425	1
98011	1
101762	1
111594	1
119443	1
124830	1
166956	1
221094	1
259276	1
421440	1
